100 kamas | amakna | U
10 kamas | amakna | C
1 kamas | amakna | C
abribus le protecteur | astrub | HR
agathank | amakna | C
agonie la déterrée | amakna | SR
aiguille amété | amakna | U
alibert | amakna | UR
amulamoogrr | amakna | R
amulette acariâtre | amakna | R
amulette amer | amakna | C
amulette de tetra | amakna | SR
amulette moogrr royale | amakna | SR
amulette prédateur alpha | amakna | U
anneau buque | amakna | U
anneau carnivore | amakna | U
anneau craquelé | amakna | U
anneau de mort-brûlé | amakna | R
anneau de pépé pâle | astrub | SSR
anneau feuillu | amakna | C
anneau grognon | amakna | R
anneau range | amakna | U
anneau rti | amakna | C
anneau sépalour | amakna | C
anneau tice | amakna | C
anneau zouka | amakna | C
annomoogrr | amakna | U
arc hidsad | amakna | C
autel ecaflip | amakna | U
autel enutrof | amakna | U
autel pandawa | amakna | U
autel sadida | amakna | U
aventourine | amakna | U
baguette range | amakna | U
baguette à pans | amakna | C
bague de jack | amakna | U
bague déterrée | amakna | C
bague rafe | amakna | C
bataillard des mers | amakna | C
batte à moogrr | amakna | U
bière d'amakna | amakna | R
blason d'amakna | amakna | UR
bonbon beurix | astrub | R
bonbon de sagesse | amakna | C
bonbon d halouine | astrub | C
booclier | amakna | C
bottes de bowisse | amakna | U
bottes de koko | amakna | S
bottes du greuvard | amakna | U
bottes du jozo | amakna | U
bottes grincheuses | amakna | U
bottes hédivines | amakna | C
bottes o'feu | amakna | C
bottes rocailleuses | amakna | C
bottler | amakna | R
bouclier dlamoule | amakna | C
bouclier du déni | amakna | C
boutes moutes | amakna | C
bout de tentacule de poule | amakna | R
bracelet gume | amakna | C
branche sèche | amakna | R
buste radivarius | amakna | C
bwork brûlé | amakna | C
bâton carnivore | amakna | UR
bâton fourcu | amakna | C
bâton rouge | amakna | C
cape branchée | amakna | C
cape des eclaireurs d otomai | astrub | S
cape du greuvard | amakna | C
cape oplexie | amakna | U
cape prédateur alpha | amakna | R
cape rocailleuse | amakna | C
cape ronchonne | amakna | R
caramel pas mou | amakna | C
cartes de quentin flush | amakna | SR
cartes lamitées | amakna | U
casque buque | amakna | R
casque carnivore | amakna | U
casque craquelé | amakna | C
casque de mort-brûlé | amakna | R
casque prédateur alpha | amakna | U
casque rocailleux | amakna | U
casque rouspéteur | amakna | C
cassoulette amaknéenne | amakna | U
ceinture boudeuse | amakna | U
ceinture de fulmination | amakna | R
ceinture de l'écumeur | amakna | C
ceinture de mort-brûlé | amakna | U
ceinture kâ-iba | amakna | HR
ceinture luthuthu | amakna | U
ceinture marbrée | amakna | C
ceinture moogrr royale | amakna | R
ceinture nikoti | amakna | C
ceinture noveure | amakna | R
ceinture prédateur alpha | amakna | R
ceinture teule | amakna | C
chair de mort-brûlé | amakna | C
changement de classe 1-à-50 | amakna | HR
chemise du pirate aguerri | amakna | R
chrysalied | amakna | R
coiffe de la moogrr sacrée | amakna | HR
coiffe moogrr impériale | amakna | R
collier naissain | amakna | C
col du corsaire stasifié | amakna | U
compote | amakna | C
coupeciel | amakna | C
craqnoix le gêneur | amakna | HR
craqueleur | amakna | C
craqueleur ancestral | amakna | C
craqueleur de la mine | amakna | C
craqueleur de la mine ancestral | amakna | C
craqueleur dominant | amakna | R
craqueleur royal | amakna | SR
crinière champêtre | amakna | C
croissang | amakna | U
crokdurr d'attaque | amakna | U
crumble | amakna | U
crâne de mort-brûlé | amakna | U
dagu'Etoile de xiangu | amakna | SR
dague poulpeuse | amakna | U
dent en or de craqueleur | amakna | C
diamant craquelé | amakna | U
domacion | amakna | C
douceur prospère | amakna | C
défunéraire | amakna | C
emblème des craqueleurs mineurs | amakna | UR
emblème des noeuds | amakna | S
emblème des racines | amakna | S
emblème de la canopée | amakna | SSR
emblème de la sève | amakna | SSR
emeraldin | amakna | C
epaulettes de mort-brûlé | amakna | U
epaulettes ensablées | amakna | U
epaulettes prédateur alpha | amakna | R
euphourbe virulente | amakna | UR
familier chienchien | amakna | R
familier geist | amakna | S
familier moomouche | amakna | R
familier petit citrouillé | amakna | UR
familier tofu poisseux | amakna | HR
familier tofu touffu | amakna | HR
farle ingalsse | amakna | UR
fiole de sagesse | amakna | R
flibustier d'asse | amakna | C
forban kahl | amakna | R
foulard ensablé | amakna | R
garde momihypnotisé | amakna | U
giorgia harmonie | amakna | UR
glouton epineux | amakna | C
gourdin dono | amakna | C
grande graine insipide | amakna | C
grelot | amakna | C
grèves lèvetoi | amakna | U
hark saniss ,dernier géant | amakna | SR
harmonie | amakna | SR
harpon du némotilus | amakna | U
jadarme | amakna | C
jeton grossier | astrub | C
jeton imparfait | amakna | C
Jeton rudimentaire | astrub | C
khan karkass | amakna | SSR
kroutânkharton | amakna | S
l'amushi | amakna | C
l'ancre | amakna | C
l'astero | amakna | U
l'attachée | amakna | U
l'ecaliseur | amakna | SR
l'épée toncle | amakna | C
lailait de kamoomille | amakna | R
lailait de moogrr royale | amakna | R
lame de téhélien | amakna | C
lame du craqueleur | amakna | R
la booreuse | amakna | C
la coquille | amakna | S
la fourbash | amakna | S
la goultard | amakna | HR
la kyou aux ailes | amakna | HR
la mouchonnette | amakna | U
la razielle conquise | amakna | SSR
les bouttes | amakna | C
les itgo | amakna | HR
le bloc parti | amakna | U
le casqtagne | amakna | U
le champêtre | amakna | U
le cobra | amakna | R
le lamdofasol | amakna | UR
le parlaicorne | amakna | C
le ritérium | amakna | C
le wameu | amakna | R
marteau d'eclat | amakna | C
marteau outar | amakna | C
marteau roc | amakna | U
masque de forban | amakna | C
masse | amakna | UR
metallicarc | amakna | C
monture bouftou de guerre | amakna | R
monture drago destrier | amakna | R
moogrron | amakna | C
moogrron dominant | amakna | R
moogrr | amakna | C
moogrr royale | amakna | SR
mort-brûlé dominant | amakna | SR
moutron | amakna | U
mékan-o momidifé | amakna | U
nasanneau | amakna | U
nimbrasier | amakna | C
néo-lailait de moogrr royale | amakna | UR
ossements d'hark sannis | amakna | R
panoplie carnivore | amakna | R
panoplie craqueleur | amakna | U
panoplie cristalline | amakna | R
panoplie magmacrak | amakna | U
panoplie prédateur alpha | amakna | U
panoplie rocailleuse | amakna | R
pansement obra | amakna | U
papioupain | amakna | U
parchemin de téléportation à amakna | amakna | R
pelle melle | amakna | C
